split,Accuracy,Sensitivity,Specificity,F1,PPV,NPV
strict
test0,0.7102, 0.5870, 0.8318, 0.6681, 0.7751, 0.6711
test1,0.7186, 0.6048, 0.8318, 0.6819, 0.7815, 0.6791
test2,0.7142, 0.5952, 0.8318, 0.6743, 0.7778, 0.6751
test3,0.7063, 0.5788, 0.8318, 0.6617, 0.7723, 0.6672
test4,0.7248, 0.6169, 0.8318, 0.6907, 0.7845, 0.6863
test5,0.7477, 0.6630, 0.8318, 0.7236, 0.7965, 0.7132
test6,0.6962, 0.5604, 0.8318, 0.6483, 0.7688, 0.6547
test7,0.7259, 0.6185, 0.8318, 0.6915, 0.7840, 0.6884
test8,0.7385, 0.6446, 0.8318, 0.7107, 0.7919, 0.7022
test9,0.7333, 0.6342, 0.8318, 0.7034, 0.7895, 0.6957


offset-9-mer-m7
test0,0.7866, 0.8407, 0.7331, 0.7965, 0.7567, 0.8234
test1,0.7974, 0.8621, 0.7331, 0.8093, 0.7626, 0.8424
test2,0.7858, 0.8392, 0.7331, 0.7958, 0.7567, 0.8217
test3,0.7790, 0.8256, 0.7331, 0.7876, 0.7530, 0.8101
test4,0.7881, 0.8435, 0.7331, 0.7986, 0.7583, 0.8251
test5,0.7991, 0.8656, 0.7331, 0.8110, 0.7630, 0.8460
test6,0.7795, 0.8260, 0.7331, 0.7892, 0.7554, 0.8085
test7,0.8004, 0.8685, 0.7331, 0.8121, 0.7626, 0.8496
test8,0.7936, 0.8545, 0.7331, 0.8049, 0.7607, 0.8354
test9,0.7929, 0.8529, 0.7331, 0.8042, 0.7607, 0.8337


10-mer-m7
test0,0.7958, 0.9148, 0.6782, 0.8165, 0.7373, 0.8897
test1,0.8011, 0.9246, 0.6782, 0.8226, 0.7408, 0.9005
test2,0.7969, 0.9168, 0.6782, 0.8178, 0.7381, 0.8918
test3,0.7947, 0.9128, 0.6782, 0.8152, 0.7365, 0.8876
test4,0.7954, 0.9134, 0.6782, 0.8165, 0.7381, 0.8876
test5,0.8037, 0.9300, 0.6782, 0.8252, 0.7416, 0.9071
test6,0.7932, 0.9084, 0.6782, 0.8144, 0.7381, 0.8812
test7,0.7976, 0.9185, 0.6782, 0.8185, 0.7381, 0.8940
test8,0.8073, 0.9374, 0.6782, 0.8290, 0.7431, 0.9160
test9,0.8002, 0.9228, 0.6782, 0.8216, 0.7404, 0.8983


10-mer-m6
test0,0.7866, 0.9519, 0.6234, 0.8159, 0.7139, 0.9292
test1,0.7965, 0.9706, 0.6234, 0.8263, 0.7193, 0.9552
test2,0.7923, 0.9630, 0.6234, 0.8218, 0.7166, 0.9446
test3,0.7882, 0.9555, 0.6234, 0.8175, 0.7143, 0.9342
test4,0.7954, 0.9687, 0.6234, 0.8251, 0.7186, 0.9525
test5,0.7936, 0.9650, 0.6234, 0.8233, 0.7178, 0.9472
test6,0.7877, 0.9524, 0.6234, 0.8176, 0.7163, 0.9292
test7,0.7930, 0.9648, 0.6234, 0.8224, 0.7166, 0.9472
test8,0.7954, 0.9687, 0.6234, 0.8251, 0.7186, 0.9525
test9,0.7984, 0.9743, 0.6234, 0.8281, 0.7201, 0.9606


