MIRNA_ID	MRNA_ID	LOCATION	PROBABILITY	PREDICT	LABEL
hsa-miR-103a-3p	PTEN	1439,1468	1.0	1	1
hsa-miR-107	PTEN	1439,1468	1.0	1	1
hsa-miR-143-3p	MDM2	3838,3867	1.0	1	1
hsa-miR-181a-5p	PTEN	1437,1466	1.0	1	1
hsa-miR-181a-5p	VEGFA	1594,1623	1.0	1	1
hsa-miR-181b-5p	BCL2	3637,3666	1.0	1	1
hsa-miR-181b-5p	NFIA	1346,1375	1.0	1	1
hsa-miR-181c-5p	PTEN	1437,1466	1.0	1	1
hsa-miR-181d-5p	BCL2	3637,3666	1.0	1	1
hsa-miR-186-5p	AKAP12	1973,2002	1.0	1	1
hsa-miR-196b-5p	IGF2BP1	4900,4929	1.0	1	1
hsa-miR-196b-5p	TGFBR2	741,770	1.0	1	1
hsa-miR-221-3p	PTEN	1439,1468	1.0	1	1
hsa-miR-26b-5p	USP9X	3281,3310	1.0	1	1
hsa-miR-29c-3p	PTEN	1440,1469	1.0	1	1
hsa-miR-32-5p	PTEN	1442,1471	1.0	1	1
hsa-miR-32-5p	TSC1	1524,1553	1.0	1	1
hsa-miR-340-5p	RHOA	497,526	1.0	1	1
hsa-miR-361-5p	VEGFA	367,396	1.0	1	1
hsa-miR-374a-5p	CCND1	2476,2505	1.0	1	1
hsa-miR-374a-5p	WIF1	121,150	1.0	1	1
hsa-miR-374a-5p	WNT5A	1409,1438	1.0	1	1
hsa-miR-374b-5p	VEGFA	365,394	1.0	1	1
hsa-miR-466	TRIM13	1219,1248	1.0	1	1
hsa-miR-515-5p	GCM1	153,182	1.0	1	1
hsa-miR-582-5p	CREB1	3186,3215	1.0	1	1
hsa-miR-582-5p	RAB27A	1618,1647	1.0	1	1
hsa-miR-9-3p	RGS5	2338,2367	1.0	1	1
hsa-miR-92a-3p	PTEN	1442,1471	1.0	1	1
hsa-miR-98-5p	HMGA2	2518,2547	1.0	1	1
hsa-miR-107	HMGA2	2402,2431	0.9999998807907104	1	1
hsa-miR-128-3p	PTEN	1438,1467	0.9999998807907104	1	1
hsa-miR-144-3p	ZFX	3483,3512	0.9999998807907104	1	1
hsa-miR-15b-5p	AGO2	9337,9366	0.9999998807907104	1	1
hsa-miR-15b-5p	TRIM29	30,59	0.9999998807907104	1	1
hsa-miR-15b-5p	VEGFA	1351,1380	0.9999998807907104	1	1
hsa-miR-181b-5p	CREB1	1775,1804	0.9999998807907104	1	1
hsa-miR-181b-5p	CYLD	2724,2753	0.9999998807907104	1	1
hsa-miR-181b-5p	HK2	2367,2396	0.9999998807907104	1	1
hsa-miR-181b-5p	NLK	213,242	0.9999998807907104	1	1
hsa-miR-181b-5p	TMED7-TICAM2	2626,2655	0.9999998807907104	1	1
hsa-miR-186-5p	MAP3K20	4682,4711	0.9999998807907104	1	1
hsa-miR-195-5p	VEGFA	1351,1380	0.9999998807907104	1	1
hsa-miR-196b-5p	HOXA9	285,314	0.9999998807907104	1	1
hsa-miR-196b-5p	HOXB7	258,287	0.9999998807907104	1	1
hsa-miR-196b-5p	HOXC8	997,1026	0.9999998807907104	1	1
hsa-miR-26b-5p	EZH2	228,257	0.9999998807907104	1	1
hsa-miR-26b-5p	IGF1R	254,283	0.9999998807907104	1	1
hsa-miR-26b-5p	KPNA2	101,130	0.9999998807907104	1	1
hsa-miR-26b-5p	LARP1B	1061,1090	0.9999998807907104	1	1
hsa-miR-26b-5p	NAMPT	2235,2264	0.9999998807907104	1	1
hsa-miR-26b-5p	PDE4A	633,662	0.9999998807907104	1	1
hsa-miR-26b-5p	PTEN	1246,1275	0.9999998807907104	1	1
hsa-miR-26b-5p	TLR4	8775,8804	0.9999998807907104	1	1
hsa-miR-26b-5p	TRAF5	512,541	0.9999998807907104	1	1
hsa-miR-26b-5p	ULK2	1193,1222	0.9999998807907104	1	1
hsa-miR-29c-3p	DNMT3B	1180,1209	0.9999998807907104	1	1
hsa-miR-301a-3p	MEOX2	258,287	0.9999998807907104	1	1
hsa-miR-301a-3p	PTEN	5753,5782	0.9999998807907104	1	1
hsa-miR-301b-3p	NR3C2	2387,2416	0.9999998807907104	1	1
hsa-miR-301b-3p	PTEN	2231,2260	0.9999998807907104	1	1
hsa-miR-302a-3p	MBD2	3198,3227	0.9999998807907104	1	1
hsa-miR-320b	RBFOX2	819,848	0.9999998807907104	1	0
hsa-miR-320c	GNAI1	404,433	0.9999998807907104	1	1
hsa-miR-320c	NOD2	811,840	0.9999998807907104	1	1
hsa-miR-320d	GNAI1	404,433	0.9999998807907104	1	1
hsa-miR-320d	RBFOX2	819,848	0.9999998807907104	1	1
hsa-miR-340-5p	KRAS	238,267	0.9999998807907104	1	1
hsa-miR-340-5p	MDM2	7300,7329	0.9999998807907104	1	1
hsa-miR-340-5p	METTL15	1794,1823	0.9999998807907104	1	1
hsa-miR-374a-5p	LDHAL6A	643,672	0.9999998807907104	1	1
hsa-miR-374a-5p	SRCIN1	1854,1883	0.9999998807907104	1	1
hsa-miR-424-5p	WEE1	257,286	0.9999998807907104	1	1
hsa-miR-449a	CDK6	1066,1095	0.9999998807907104	1	1
hsa-miR-497-5p	BCL2	2728,2757	0.9999998807907104	1	1
hsa-miR-497-5p	WEE1	257,286	0.9999998807907104	1	1
hsa-miR-582-5p	CASP3	941,970	0.9999998807907104	1	1
hsa-miR-582-5p	EFNB2	532,561	0.9999998807907104	1	1
hsa-miR-582-5p	MCL1	647,676	0.9999998807907104	1	1
hsa-miR-98-5p	BCL2	3367,3396	0.9999998807907104	1	1
hsa-miR-98-5p	CCND2	4910,4939	0.9999998807907104	1	1
hsa-miR-98-5p	CCNJL	1702,1731	0.9999998807907104	1	1
hsa-miR-98-5p	IGF1R	5782,5811	0.9999998807907104	1	1
hsa-miR-98-5p	PAK1	124,153	0.9999998807907104	1	1
hsa-miR-98-5p	PBX3	959,988	0.9999998807907104	1	1
hsa-miR-98-5p	SALL4	1313,1342	0.9999998807907104	1	1
hsa-miR-101-3p	CTNNB1	652,681	0.9999997615814209	1	1
hsa-miR-106a-3p	PTEN	1440,1469	0.9999997615814209	1	1
hsa-miR-129-5p	AGO3	7000,7029	0.9999997615814209	1	1
hsa-miR-143-3p	TNFAIP8	6271,6300	0.9999997615814209	1	1
hsa-miR-146b-5p	TLR4	6720,6749	0.9999997615814209	1	1
hsa-miR-15a-5p	VEGFA	1351,1380	0.9999997615814209	1	1
hsa-miR-15b-5p	CCND1	2491,2520	0.9999997615814209	1	1
hsa-miR-181b-5p	MAP2K1	869,898	0.9999997615814209	1	1
hsa-miR-181b-5p	PLAG1	446,475	0.9999997615814209	1	1
hsa-miR-181b-5p	RAP1B	11304,11333	0.9999997615814209	1	1
hsa-miR-181b-5p	SIRT1	535,564	0.9999997615814209	1	1
hsa-miR-181d-5p	RAP1B	11085,11114	0.9999997615814209	1	1
hsa-miR-183-5p	BTRC	354,383	0.9999997615814209	1	1
hsa-miR-186-5p	CSNK2A1	10641,10670	0.9999997615814209	1	1
hsa-miR-186-5p	FGF2	5607,5636	0.9999997615814209	1	1
hsa-miR-186-5p	XIAP	521,550	0.9999997615814209	1	1
hsa-miR-196b-5p	CD8A	720,749	0.9999997615814209	1	1
hsa-miR-199a-3p	FLT1	3817,3846	0.9999997615814209	1	1
hsa-miR-221-5p	CDKN1C	405,434	0.9999997615814209	1	1
hsa-miR-26b-5p	COL1A2	91,120	0.9999997615814209	1	1
hsa-miR-26b-5p	HGF	2093,2122	0.9999997615814209	1	1
hsa-miR-26b-5p	JAG1	872,901	0.9999997615814209	1	1
hsa-miR-26b-5p	PTGS2	2151,2180	0.9999997615814209	1	1
hsa-miR-26b-5p	RB1	1502,1531	0.9999997615814209	1	1
hsa-miR-26b-5p	ST8SIA4	1237,1266	0.9999997615814209	1	1
hsa-miR-28-5p	N4BP1	3983,4012	0.9999997615814209	1	1
hsa-miR-29c-3p	BCL2	3111,3140	0.9999997615814209	1	1
hsa-miR-29c-3p	CCND2	884,913	0.9999997615814209	1	1
hsa-miR-29c-3p	CDC42BPA	2454,2483	0.9999997615814209	1	1
hsa-miR-29c-3p	CTNND1	1861,1890	0.9999997615814209	1	1
hsa-miR-301a-3p	MAP3K5	304,333	0.9999997615814209	1	1
hsa-miR-301a-3p	SMAD4	1823,1852	0.9999997615814209	1	1
hsa-miR-320b	NOD2	811,840	0.9999997615814209	1	1
hsa-miR-320c	PRDM16	2818,2847	0.9999997615814209	1	1
hsa-miR-320c	XBP1	586,615	0.9999997615814209	1	1
hsa-miR-329-3p	BRD4	1700,1729	0.9999997615814209	1	1
hsa-miR-340-5p	CCND1	2162,2191	0.9999997615814209	1	1
hsa-miR-340-5p	CDK6	2436,2465	0.9999997615814209	1	1
hsa-miR-340-5p	MECP2	7217,7246	0.9999997615814209	1	1
hsa-miR-373-3p	MBD2	3198,3227	0.9999997615814209	1	1
hsa-miR-374a-5p	ATM	2222,2251	0.9999997615814209	1	1
hsa-miR-374a-5p	DICER1	1550,1579	0.9999997615814209	1	1
hsa-miR-497-5p	BIRC5	176,205	0.9999997615814209	1	1
hsa-miR-497-5p	BTRC	1360,1389	0.9999997615814209	1	1
hsa-miR-497-5p	KCNN4	126,155	0.9999997615814209	1	1
hsa-miR-98-5p	CYP19A1	994,1023	0.9999997615814209	1	1
hsa-miR-98-5p	E2F1	615,644	0.9999997615814209	1	1
hsa-miR-98-5p	IL13RA1	1186,1215	0.9999997615814209	1	1
