MIRNA_ID	MRNA_ID	LOCATION	PROBABILITY	PREDICT	LABEL
hsa-miR-552-3p	AK9	30,59	0.9999998807907104	1	-1
hsa-miR-552-3p	SUCNR1	1938,1967	0.9999979734420776	1	-1
hsa-miR-552-3p	FZD4	1073,1102	0.9999977350234985	1	-1
hsa-miR-552-3p	MSR1	1897,1926	0.9999974966049194	1	-1
hsa-miR-552-3p	HCCS	125,154	0.9999958276748657	1	-1
hsa-miR-552-3p	CXCL12	1444,1473	0.9999953508377075	1	-1
hsa-miR-552-3p	MTO1	3698,3727	0.9999949932098389	1	-1
hsa-miR-552-3p	RAB5B	3893,3922	0.9999905824661255	1	-1
hsa-miR-552-3p	PAWR	1286,1315	0.9999896287918091	1	-1
hsa-miR-552-3p	LY9	591,620	0.9999880790710449	1	-1
hsa-miR-552-3p	FLRT2	21696,21725	0.9999873638153076	1	-1
hsa-miR-552-3p	HOXD10	222,251	0.999987006187439	1	-1
hsa-miR-552-3p	UTS2B	632,661	0.9999865293502808	1	-1
hsa-miR-552-3p	ZNF211	161,190	0.999985933303833	1	-1
hsa-miR-552-3p	CCNJ	1283,1312	0.9999858140945435	1	-1
hsa-miR-552-3p	SIPA1L2	548,577	0.9999853372573853	1	-1
hsa-miR-552-3p	DSC2	5644,5673	0.9999849796295166	1	-1
hsa-miR-552-3p	RPAIN	475,504	0.9999841451644897	1	-1
hsa-miR-552-3p	ZFP91	2198,2227	0.9999840259552002	1	-1
hsa-miR-552-3p	ACVR1C	7073,7102	0.9999836683273315	1	-1
hsa-miR-552-3p	AMPD3	147,176	0.9999836683273315	1	-1
hsa-miR-552-3p	NSA2	492,521	0.999983549118042	1	-1
hsa-miR-552-3p	TOP3A	2290,2319	0.999983549118042	1	-1
hsa-miR-552-3p	NRG1	9901,9930	0.9999812841415405	1	-1
hsa-miR-552-3p	ASXL2	645,674	0.999981164932251	1	-1
hsa-miR-552-3p	PRELP	3084,3113	0.999980092048645	1	-1
hsa-miR-552-3p	GRPEL1	98,127	0.9999791383743286	1	-1
hsa-miR-552-3p	EPN1	7416,7445	0.9999790191650391	1	-1
hsa-miR-552-3p	RNF38	1942,1971	0.9999790191650391	1	-1
